date,product_id,quantity,is_returned
2022-01-01,SKU-1066,2,0
2022-01-01,SKU-1055,2,0
2022-01-01,SKU-1125,1,0
2022-01-01,SKU-1049,1,0
2022-01-01,SKU-1053,3,0
2022-01-01,SKU-1110,3,0
2022-01-01,SKU-1055,2,0
2022-01-01,SKU-1032,1,1
2022-01-01,SKU-1105,1,0
2022-01-01,SKU-1084,1,0
2022-01-01,SKU-1026,1,0
2022-01-01,SKU-1072,2,0
2022-01-01,SKU-1144,1,0
2022-01-01,SKU-1129,1,0
2022-01-01,SKU-1093,3,0
2022-01-01,SKU-1094,2,0
2022-01-01,SKU-1004,1,0
2022-01-01,SKU-1009,1,0
2022-01-01,SKU-1040,3,0
2022-01-01,SKU-1066,2,0
2022-01-01,SKU-1098,1,0
2022-01-01,SKU-1101,1,0
2022-01-01,SKU-1041,2,0
2022-01-01,SKU-1070,2,0
2022-01-01,SKU-1063,1,0
2022-01-01,SKU-1049,2,0
2022-01-01,SKU-1044,3,0
2022-01-01,SKU-1080,1,0
2022-01-01,SKU-1148,3,0
2022-01-01,SKU-1006,3,1
2022-01-01,SKU-1148,3,0
2022-01-01,SKU-1060,2,0
2022-01-01,SKU-1081,1,0
2022-01-01,SKU-1129,1,0
2022-01-01,SKU-1039,3,0
2022-01-01,SKU-1104,2,0
2022-01-01,SKU-1058,3,0
2022-01-01,SKU-1038,3,0
2022-01-01,SKU-1073,2,0
2022-01-02,SKU-1137,2,0
2022-01-02,SKU-1021,3,0
2022-01-02,SKU-1133,1,0
2022-01-02,SKU-1068,2,0
2022-01-02,SKU-1118,3,0
2022-01-02,SKU-1002,1,0
2022-01-02,SKU-1128,2,0
2022-01-02,SKU-1139,3,0
2022-01-02,SKU-1129,1,0
2022-01-02,SKU-1018,2,0
2022-01-02,SKU-1149,2,0
2022-01-02,SKU-1113,1,0
2022-01-02,SKU-1103,3,0
2022-01-02,SKU-1079,1,0
2022-01-02,SKU-1031,2,0
2022-01-02,SKU-1073,2,0
2022-01-02,SKU-1143,2,0
2022-01-02,SKU-1065,3,0
2022-01-02,SKU-1103,3,0
2022-01-02,SKU-1100,3,0
2022-01-02,SKU-1128,1,0
2022-01-02,SKU-1034,3,0
2022-01-02,SKU-1104,3,0
2022-01-02,SKU-1007,2,0
2022-01-02,SKU-1007,3,0
2022-01-02,SKU-1109,2,0
2022-01-02,SKU-1149,2,0
2022-01-02,SKU-1121,3,0
2022-01-02,SKU-1074,2,0
2022-01-02,SKU-1093,3,0
2022-01-02,SKU-1023,1,0
2022-01-02,SKU-1090,3,0
2022-01-02,SKU-1139,1,0
2022-01-02,SKU-1001,2,0
2022-01-02,SKU-1009,3,0
2022-01-02,SKU-1065,3,0
2022-01-02,SKU-1031,2,0
2022-01-02,SKU-1137,3,0
2022-01-02,SKU-1141,1,0
2022-01-02,SKU-1108,3,0
2022-01-02,SKU-1056,1,0
2022-01-02,SKU-1107,2,0
2022-01-02,SKU-1083,1,0
2022-01-02,SKU-1082,1,0
2022-01-02,SKU-1120,2,1
2022-01-02,SKU-1113,3,0
2022-01-02,SKU-1048,3,0
2022-01-02,SKU-1043,1,0
2022-01-02,SKU-1032,2,0
2022-01-02,SKU-1025,2,0
2022-01-03,SKU-1148,1,0
2022-01-03,SKU-1105,3,0
2022-01-03,SKU-1081,1,0
2022-01-03,SKU-1093,1,0
2022-01-03,SKU-1050,1,0
2022-01-03,SKU-1026,3,0
2022-01-03,SKU-1064,3,0
2022-01-03,SKU-1148,3,0
2022-01-03,SKU-1039,2,0
2022-01-03,SKU-1147,2,1
2022-01-03,SKU-1134,3,0
2022-01-03,SKU-1053,3,0
2022-01-03,SKU-1052,3,0
2022-01-03,SKU-1060,1,0
2022-01-03,SKU-1093,2,1
2022-01-03,SKU-1042,3,0
2022-01-03,SKU-1053,3,0
2022-01-03,SKU-1028,2,0
2022-01-03,SKU-1101,3,0
2022-01-03,SKU-1140,2,0
2022-01-03,SKU-1016,2,0
2022-01-03,SKU-1091,1,0
2022-01-03,SKU-1104,1,0
2022-01-03,SKU-1001,2,0
2022-01-03,SKU-1121,3,0
2022-01-03,SKU-1088,2,0
2022-01-03,SKU-1021,1,0
2022-01-03,SKU-1115,1,0
2022-01-03,SKU-1106,1,0
2022-01-04,SKU-1132,3,0
2022-01-04,SKU-1030,3,0
2022-01-04,SKU-1111,2,0
2022-01-04,SKU-1024,1,0
2022-01-04,SKU-1013,2,0
2022-01-04,SKU-1075,2,0
2022-01-04,SKU-1125,1,0
2022-01-04,SKU-1122,2,0
2022-01-04,SKU-1014,2,0
2022-01-04,SKU-1123,2,0
2022-01-04,SKU-1058,3,0
2022-01-04,SKU-1082,3,0
2022-01-04,SKU-1052,1,0
2022-01-04,SKU-1054,1,0
2022-01-04,SKU-1103,1,0
2022-01-04,SKU-1036,2,0
2022-01-04,SKU-1081,3,0
2022-01-04,SKU-1119,2,0
2022-01-04,SKU-1030,1,0
2022-01-04,SKU-1098,2,0
2022-01-04,SKU-1049,2,0
2022-01-04,SKU-1076,3,1
2022-01-04,SKU-1146,1,0
2022-01-04,SKU-1085,3,0
2022-01-04,SKU-1126,1,0
2022-01-04,SKU-1094,1,0
2022-01-04,SKU-1028,2,0
2022-01-04,SKU-1046,1,0
2022-01-04,SKU-1148,1,0
2022-01-04,SKU-1115,1,0
2022-01-04,SKU-1094,3,0
2022-01-04,SKU-1014,3,0
2022-01-04,SKU-1092,1,0
2022-01-04,SKU-1116,3,0
2022-01-04,SKU-1001,3,0
2022-01-04,SKU-1011,2,0
2022-01-04,SKU-1144,3,0
2022-01-04,SKU-1063,1,0
2022-01-04,SKU-1126,1,0
2022-01-04,SKU-1128,1,0
2022-01-05,SKU-1132,2,0
2022-01-05,SKU-1074,1,0
2022-01-05,SKU-1145,2,0
2022-01-05,SKU-1088,2,0
2022-01-05,SKU-1049,1,1
2022-01-05,SKU-1035,1,0
2022-01-05,SKU-1125,1,0
2022-01-05,SKU-1116,2,0
2022-01-05,SKU-1033,1,0
2022-01-05,SKU-1011,2,0
2022-01-05,SKU-1086,2,0
2022-01-05,SKU-1058,1,0
2022-01-05,SKU-1024,3,0
2022-01-05,SKU-1053,3,0
2022-01-05,SKU-1133,1,0
2022-01-05,SKU-1015,1,0
2022-01-05,SKU-1144,2,0
2022-01-05,SKU-1056,1,0
2022-01-05,SKU-1087,2,0
2022-01-05,SKU-1041,3,0
2022-01-05,SKU-1120,2,0
2022-01-05,SKU-1042,2,0
2022-01-05,SKU-1033,1,0
2022-01-05,SKU-1055,2,0
2022-01-05,SKU-1110,2,0
2022-01-05,SKU-1042,2,0
2022-01-06,SKU-1091,2,0
2022-01-06,SKU-1001,1,0
2022-01-06,SKU-1124,2,0
2022-01-06,SKU-1019,2,0
2022-01-06,SKU-1021,3,0
2022-01-06,SKU-1107,2,0
2022-01-06,SKU-1101,2,0
2022-01-06,SKU-1037,3,0
2022-01-06,SKU-1018,1,0
2022-01-06,SKU-1061,1,0
2022-01-06,SKU-1087,1,0
2022-01-06,SKU-1070,3,0
2022-01-06,SKU-1103,3,0
2022-01-06,SKU-1056,1,0
2022-01-06,SKU-1133,2,0
2022-01-06,SKU-1046,1,0
2022-01-06,SKU-1103,2,0
